,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,,V55,V56,V57,V58
27,0.26929,0.065855,0.00788,0.10352,0.0092247,0.071902,0.0093798,0.10826,0.0086827,0.031071,0.031357,0.030997,0.03224,0.034097,0.036145,0.033548,0.031829,0.07386,0.027486,0.073632,0.056468,0.081482,0.031765,0.077156,0.056511,0.056358,0.064731,0.11876,0.12771,0.063138,0.060866,0.14014,0.12365,0.062189,0.050939,0.12138,0.05471,0.068165,0.049005,0.12841,0.050456,0.048424,0.047061,0.050583,0.052259,0.051824,0.05008,0.046329,0.049135,0.034465,0.055401,0.034179,0.090218,0.036142,0.051976,0.03262,0.083,0.46595,0.67981
28,0.386,0.078685,0.015647,0.087782,0.016894,0.075592,0.016682,0.095978,0.017747,0.0292,0.026782,0.026257,0.028345,0.027152,0.026384,0.025701,0.029644,0.047299,0.030849,0.045855,0.034539,0.043242,0.026232,0.0429,0.03957,0.050538,0.051198,0.067614,0.07764,0.044148,0.043413,0.070578,0.082095,0.044791,0.036934,0.057958,0.035338,0.039261,0.035542,0.061665,0.040471,0.033824,0.033132,0.03401,0.031652,0.033076,0.035528,0.035384,0.03274,0.026344,0.068678,0.026196,0.0847,0.027457,0.07179,0.026531,0.082798,0.45762,0.71399
29,0.23785,0.046511,0.010092,0.10871,0.01123,0.047186,0.0091055,0.1099,0.0092322,0.025326,0.037109,0.0386,0.026758,0.027729,0.03784,0.039021,0.025291,0.095836,0.037181,0.093696,0.053532,0.09987,0.037251,0.10243,0.049559,0.070791,0.075419,0.12502,0.12984,0.074102,0.082741,0.11943,0.12889,0.10277,0.061564,0.13137,0.058393,0.11258,0.059437,0.12886,0.062545,0.065863,0.049789,0.050916,0.066371,0.064229,0.047381,0.048054,0.067095,0.042752,0.037916,0.042689,0.08791,0.044728,0.037222,0.038908,0.093659,0.5158,0.61803
30,0.22139,0.07177,0.0094334,0.095512,0.006259,0.075346,0.007577,0.096488,0.0084171,0.034378,0.033686,0.038249,0.034719,0.033559,0.032328,0.033291,0.03494,0.11038,0.052832,0.11108,0.045954,0.11229,0.044816,0.1041,0.046052,0.11388,0.11228,0.15107,0.13957,0.13414,0.11002,0.15468,0.12386,0.13235,0.091456,0.24439,0.098555,0.11188,0.083194,0.18636,0.079929,0.060009,0.059715,0.055203,0.049264,0.04812,0.048415,0.053206,0.056176,0.032883,0.071593,0.029135,0.075526,0.032467,0.074177,0.02753,0.07434,0.50491,0.50798
31,0.33331,0.088634,0.015209,0.055528,0.014566,0.086228,0.013979,0.059242,0.016138,0.028178,0.025707,0.026366,0.028926,0.027733,0.027292,0.029676,0.029724,0.055751,0.032629,0.061335,0.030444,0.06058,0.038847,0.072984,0.029251,0.058828,0.064883,0.065343,0.055609,0.06624,0.081062,0.074818,0.051933,0.074623,0.044202,0.077181,0.043004,0.090576,0.050636,0.075255,0.039103,0.036784,0.041676,0.041951,0.03639,0.041207,0.043202,0.037963,0.035815,0.035799,0.074416,0.036825,0.049076,0.038037,0.075277,0.034296,0.047798,0.55332,0.65748
32,0.41422,0.066147,0.01431,0.091209,0.014323,0.059682,0.01491,0.09344,0.017019,0.018894,0.019532,0.018905,0.017559,0.019786,0.021041,0.021421,0.020312,0.028417,0.016891,0.020883,0.021128,0.029655,0.015846,0.022043,0.020992,0.027301,0.020926,0.026892,0.048129,0.02696,0.021533,0.026816,0.045414,0.019076,0.016492,0.024712,0.024378,0.019829,0.018342,0.024299,0.023856,0.020481,0.019028,0.020475,0.021618,0.020106,0.021707,0.021099,0.020681,0.01874,0.058048,0.018736,0.090416,0.020751,0.061684,0.018637,0.086225,0.47402,0.72875
33,0.38119,0.085657,0.019632,0.068082,0.014523,0.07518,0.017795,0.064756,0.016612,0.032451,0.031955,0.022182,0.0213,0.023976,0.024396,0.023811,0.026723,0.053807,0.031609,0.034598,0.023863,0.046447,0.02916,0.032324,0.032221,0.065568,0.050241,0.037511,0.058762,0.060748,0.041353,0.044667,0.055861,0.051981,0.026955,0.039013,0.035045,0.046523,0.02576,0.052604,0.042032,0.028293,0.02678,0.031745,0.030141,0.028548,0.030709,0.039004,0.037861,0.029553,0.063822,0.034271,0.051237,0.034631,0.069819,0.04198,0.053741,0.49989,0.70867
34,0.32362,0.067162,0.013711,0.073606,0.012354,0.067359,0.014678,0.09396,0.014073,0.018633,0.01887,0.017072,0.018306,0.022071,0.022866,0.022974,0.020178,0.031078,0.020207,0.03589,0.02201,0.046742,0.026655,0.048315,0.023487,0.036474,0.031126,0.042328,0.039817,0.047076,0.045321,0.050443,0.035377,0.033993,0.023494,0.046596,0.026813,0.066403,0.026739,0.046388,0.022917,0.023833,0.026194,0.032709,0.037059,0.036491,0.03175,0.024974,0.024678,0.029571,0.05139,0.044773,0.072086,0.042939,0.052291,0.031281,0.060823,0.57497,0.68923
35,0.34326,0.07008,0.01586,0.073018,0.015227,0.067031,0.014237,0.064312,0.013818,0.022814,0.023569,0.023486,0.022742,0.019488,0.018509,0.019195,0.018738,0.045608,0.02109,0.043428,0.021145,0.034841,0.015999,0.03077,0.020504,0.039638,0.038421,0.045727,0.040056,0.028509,0.026953,0.031974,0.046205,0.059148,0.027467,0.051682,0.02356,0.032189,0.020556,0.041397,0.029784,0.031442,0.029589,0.026204,0.024147,0.022728,0.024675,0.029768,0.029489,0.039453,0.055451,0.029485,0.053023,0.029421,0.058128,0.038717,0.061689,0.58453,0.68016
36,0.36809,0.085655,0.013673,0.075394,0.019869,0.093283,0.013893,0.072392,0.016267,0.032894,0.034517,0.045353,0.046044,0.034775,0.033151,0.041001,0.04015,0.075097,0.044396,0.069146,0.035609,0.072718,0.039845,0.062963,0.033833,0.083484,0.068331,0.052104,0.068561,0.077565,0.060822,0.044657,0.06362,0.06845,0.059482,0.055543,0.066412,0.061133,0.051475,0.050595,0.065966,0.055986,0.058992,0.045205,0.041164,0.049153,0.049734,0.044287,0.044431,0.033434,0.082957,0.022713,0.06422,0.02685,0.078686,0.021469,0.070176,0.4347,0.70845
37,0.33089,0.053239,0.013015,0.12357,0.012239,0.054342,0.014269,0.12483,0.012634,0.026176,0.030502,0.028306,0.024737,0.026764,0.030249,0.030733,0.026686,0.055119,0.023878,0.054923,0.035337,0.05677,0.026488,0.057532,0.042961,0.047002,0.047293,0.09148,0.090938,0.053495,0.049063,0.10154,0.10031,0.041464,0.040885,0.063587,0.043442,0.047472,0.041736,0.076949,0.040302,0.039181,0.033624,0.036752,0.043583,0.041229,0.036361,0.034398,0.040531,0.030406,0.0442,0.031047,0.10733,0.032991,0.044076,0.035038,0.10312,0.46722,0.70853
38,0.35335,0.078701,0.013488,0.092175,0.011926,0.072378,0.012456,0.092609,0.012407,0.03006,0.031456,0.029402,0.026232,0.028682,0.028913,0.031557,0.030353,0.045751,0.032789,0.0474,0.03051,0.042715,0.038344,0.053954,0.032393,0.042936,0.063128,0.045908,0.054067,0.047638,0.076902,0.053606,0.050394,0.048143,0.035066,0.044707,0.031017,0.055454,0.039218,0.048284,0.03422,0.035432,0.033638,0.032899,0.036434,0.039291,0.036823,0.036005,0.037546,0.024937,0.06417,0.025813,0.078374,0.026599,0.070203,0.027549,0.07784,0.47132,0.72784
39,0.27613,0.063714,0.012949,0.085525,0.011015,0.065549,0.011334,0.092535,0.011208,0.02869,0.027555,0.023688,0.024714,0.026031,0.026439,0.025475,0.024071,0.067861,0.028535,0.065414,0.039851,0.08354,0.035632,0.073965,0.044176,0.081073,0.070186,0.11028,0.10295,0.10346,0.095455,0.10842,0.10363,0.086301,0.044366,0.10498,0.048302,0.1699,0.042952,0.10237,0.047762,0.039462,0.039264,0.048381,0.053482,0.047618,0.042451,0.042634,0.040616,0.036957,0.051321,0.054863,0.069887,0.050542,0.048212,0.03801,0.071618,0.52411,0.6403
40,0.29147,0.11884,0.0085223,0.073736,0.0086229,0.1094,0.010989,0.074219,0.0090505,0.028068,0.021781,0.021848,0.02662,0.028148,0.026636,0.022909,0.030065,0.056599,0.035052,0.04998,0.038465,0.055417,0.040568,0.056434,0.03722,0.06192,0.079665,0.060952,0.070561,0.078469,0.087792,0.068669,0.067408,0.070854,0.035354,0.065976,0.037788,0.077551,0.037417,0.07008,0.03594,0.032268,0.037908,0.040839,0.03634,0.039229,0.042966,0.043684,0.035859,0.024678,0.095174,0.029459,0.065187,0.028243,0.099928,0.026825,0.062697,0.48908,0.71095
41,0.35717,0.060128,0.016638,0.076172,0.014807,0.056221,0.015669,0.08042,0.014377,0.020744,0.02162,0.022749,0.021412,0.019486,0.021192,0.02336,0.019649,0.028963,0.026525,0.028736,0.020849,0.028286,0.03084,0.029564,0.017644,0.030801,0.03022,0.028824,0.029603,0.029704,0.034491,0.023696,0.027668,0.044014,0.021783,0.037012,0.021769,0.05041,0.021599,0.033538,0.021463,0.02596,0.023385,0.022272,0.025088,0.028154,0.023303,0.024105,0.025606,0.024605,0.051856,0.024306,0.068721,0.02432,0.053559,0.025117,0.07013,0.53885,0.71718
